,no,target,t,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
0,1.0,7.0,0.0,0.4025584633762647,0.17308703859435068,0.6067661454691525,0.17356165799538298,0.13323401199923623,0.0,0.13250743500859888,0.12644041266603312,0.6349078042329345,0.7247094456965665,0.0,0.9968649949969779,0.0,0.4,0.6399999999999999,0.35,0.31666666666666643,0.9534957474617414,0.0
1,1.0,7.0,1.0,0.4948604542101726,0.0403287951177737,0.47944329945906944,0.016077593632636184,0.05667770137445308,0.0,0.0,0.051758872414640555,0.061911009823784696,0.02953239776470504,0.0,0.1958270968987924,0.0,0.2,0.7771428571428571,0.5,0.3833333333333333,0.3257441841855183,0.1
2,1.0,7.0,2.0,0.2795595397396523,0.07091973575706725,0.5059518415737824,0.01625366088963925,0.11671959920076803,0.0,0.0,0.03840555481136066,0.1268603108478191,0.0,0.0,0.05009015428619948,0.31334495168758314,0.0,0.6399999999999999,0.65,0.5166666666666666,0.3592443081983417,0.0
3,1.0,7.0,3.0,0.2474333075572088,0.04780134626891276,0.8955902466695869,0.16830978878820246,0.09171805290743484,0.0,0.002316106171538057,0.035101505254308975,0.4539659100206714,0.3323374411905107,0.0,0.2975707457249553,0.0,0.6666666666666666,0.8457142857142856,0.25,0.25,0.7980232162908671,0.0
4,2.0,7.0,0.0,0.4948604542101726,0.0403287951177737,0.47944329945906944,0.016077593632636184,0.05667770137445308,0.0,0.0,0.051758872414640555,0.061911009823784696,0.02953239776470504,0.0,0.1958270968987924,0.0,0.2,0.7771428571428571,0.5,0.3833333333333333,0.3257441841855183,0.1
5,2.0,7.0,1.0,0.2795595397396523,0.07091973575706725,0.5059518415737824,0.01625366088963925,0.11671959920076803,0.0,0.0,0.03840555481136066,0.1268603108478191,0.0,0.0,0.05009015428619948,0.31334495168758314,0.0,0.6399999999999999,0.65,0.5166666666666666,0.3592443081983417,0.0
6,2.0,7.0,2.0,0.2474333075572088,0.04780134626891276,0.8955902466695869,0.16830978878820246,0.09171805290743484,0.0,0.002316106171538057,0.035101505254308975,0.4539659100206714,0.3323374411905107,0.0,0.2975707457249553,0.0,0.6666666666666666,0.8457142857142856,0.25,0.25,0.7980232162908671,0.0
7,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,0.24791388899974373,
8,3.0,7.0,0.0,0.2795595397396523,0.07091973575706725,0.5059518415737824,0.01625366088963925,0.11671959920076803,0.0,0.0,0.03840555481136066,0.1268603108478191,0.0,0.0,0.05009015428619948,0.31334495168758314,0.0,0.6399999999999999,0.65,0.5166666666666666,0.3592443081983417,0.0
9,3.0,7.0,1.0,0.2474333075572088,0.04780134626891276,0.8955902466695869,0.16830978878820246,0.09171805290743484,0.0,0.002316106171538057,0.035101505254308975,0.4539659100206714,0.3323374411905107,0.0,0.2975707457249553,0.0,0.6666666666666666,0.8457142857142856,0.25,0.25,0.7980232162908671,0.0
